epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5830.09,1.46299,1.15744,0.01347,0.7469,0.59682,0.67469,0.40091,1.53148,1.2437,0.01846,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5956.6,1.46473,1.18147,0.01364,0.73039,0.60094,0.67625,0.39912,1.53555,1.23703,0.0186,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6085.29,1.45397,1.15209,0.01353,0.74822,0.5938,0.67945,0.40593,1.52213,1.2389,0.01829,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6212.63,1.44413,1.13776,0.01337,0.74652,0.60112,0.67989,0.40704,1.52523,1.22744,0.01834,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6342.24,1.4446,1.13879,0.01347,0.74471,0.60918,0.68178,0.40617,1.52165,1.2282,0.01824,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6470.31,1.4451,1.12969,0.01328,0.74608,0.61462,0.68769,0.40847,1.51353,1.22295,0.01823,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6600.33,1.44292,1.12572,0.01321,0.74951,0.60517,0.68335,0.40602,1.5196,1.22937,0.01831,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6727.8,1.4345,1.12233,0.01334,0.74926,0.60544,0.68251,0.40669,1.52186,1.23387,0.01825,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6853.46,1.42649,1.09911,0.01309,0.74518,0.61012,0.68571,0.40757,1.52818,1.22007,0.01832,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6981.27,1.43021,1.09675,0.01309,0.76733,0.60087,0.68723,0.40923,1.52343,1.20846,0.01813,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7108.5,1.43129,1.09262,0.01306,0.76021,0.60169,0.6897,0.41207,1.51936,1.20148,0.01823,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7235.66,1.41905,1.09366,0.01319,0.75617,0.60225,0.68839,0.41272,1.51464,1.20399,0.01814,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7364.9,1.41562,1.08627,0.01314,0.76751,0.59777,0.6855,0.4118,1.51782,1.20987,0.01821,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7496.26,1.41374,1.0764,0.01298,0.73804,0.61706,0.68628,0.41131,1.51362,1.21086,0.01813,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7627.23,1.40512,1.07834,0.01295,0.74977,0.60619,0.68395,0.41168,1.50877,1.21082,0.01791,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7762.35,1.40833,1.06626,0.01287,0.73994,0.61649,0.6875,0.41153,1.50586,1.21797,0.01797,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7900.95,1.40093,1.06756,0.01282,0.75918,0.6045,0.68711,0.41336,1.51189,1.21324,0.01809,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8030.26,1.39115,1.06003,0.01258,0.7475,0.61237,0.68575,0.41198,1.5086,1.21953,0.01798,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8160.13,1.38916,1.05294,0.01282,0.74451,0.61286,0.68658,0.41353,1.51305,1.21747,0.01809,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8299.15,1.38484,1.0498,0.01254,0.74331,0.60956,0.68375,0.41196,1.50659,1.21633,0.01796,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,8442.32,1.38843,1.04552,0.01263,0.75254,0.60506,0.68379,0.41159,1.51323,1.21894,0.01812,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
